,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
346,ABDUL MANNAN,SANDILA,BSP,0,Graduate,8037616,2700000
347,BHOLA,SARAIMIR,SP,0,12th Pass,206000,0
348,CHANDRA VEER SINGH,SARDHANA,BSP,0,Graduate,25538087,3172513
349,ASHOK KUMAR SINGH,SARENI,INC,0,10th Pass,4220262,723054
350,MOHD.IRSHAD KHAN,SAROJININAGAR,BSP,0,Graduate,3014806,242070
351,ARUNA TOMAR,SARSAUL,SP,0,12th Pass,20297513,0
352,DR.DHARM SINGH SAINI,SARSAWA,BSP,0,Post Graduate,12283270,756523
353,RAM SWAROOP SINGH,SARVANKHERA,SP,0,10th Pass,5673179,33718
354,GENDA LAL CHAUDHARY,SASNI,BSP,0,Graduate,2008000,0
355,SHIV GANESH,SATAON,INC,0,Graduate Professional,3696401,0
356,YASH PAL SINGH,SEOHARA,BSP,1,12th Pass,2737422,0
357,DR. P.K. RAI,SEORAHI,SP,0,Not Given,35089021,0
358,ASHIF,SHAHABAD,BSP,1,Post Graduate,2737000,0
359,KASHI RAM,SHAHABAD,BJP,0,10th Pass,2432448,0
360,JAGDISH SONKAR,SHAHGANJ,SP,0,Graduate,4403860,842894
361,SURESH KUMAR KHANNA,SHAHJAHANPUR,BJP,0,Graduate Professional,2276361,129000
362,VASDEV SINGH,SHIKARPUR,BSP,0,Not Given,4315284,125000
363,ASHOK YADAV S/O MAHESHWAR SINGH`,SHIKOHABAD,IND,2,Graduate Professional,35202793,0
364,CHAUDHARI RAVIND PRATAP,SHOHRATGARH,INC,2,Graduate,19047852,889499
365,JANARADAN PRASAD OJHA,SHYAM DEURWA,SP,1,Not Given,1998939,78207
366,SUNDER SINGH,SIANA,BJP,1,Graduate,2621746,10964484
367,KEDARNATH VERMA,SIAR,BSP,0,Others,5295000,0
368,DHARMI RAWAT,SIDDHAUR,BSP,0,Literate,10697372,0
369,DR. HARGOVIND BHARGAVA,SIDHAULI,BSP,0,Not Given,350000,0
370,YASHPAL SINGH CHAUHAN,SIKANDARA RAO,BJP,0,Graduate,3537000,650000
371,SHRIBHAGWAN,SIKANDARPUR,BSP,1,Post Graduate,249000,0
372,VEDRAM BHATI,SIKANDRABAD,BSP,0,Graduate Professional,7301381,0
373,WACHASPATI,SIRATHU,BSP,0,Post Graduate,9704194,0
374,SANJEEV DARIYABADI,SISAMAU,INC,3,8th Pass,317500,0
375,AVNINDRA NATH DWEDI ALLIES MAHANT DUBEY,SISWA,BJP,3,Post Graduate,2050812,40000
376,RADHEY SHYAM JAISWAL,SITAPUR,SP,7,8th Pass,6520602,422601
377,VINOD KUMAR HARIT,SIWALKHAS,BSP,0,12th Pass,5995924,0
378,AWADHESH PRASAD,SOHAWAL,SP,0,Post Graduate,13876232,390122
379,MOHD. MUZTABA SIDDIQI,SORAON,BSP,1,Post Graduate,11740183,2014242
380,MAMTESH,SORON,BSP,0,12th Pass,1587398,0
381,R.A.USMANI,SRINAGAR,SP,0,Post Graduate,920000,750000
382,NAWAB KAZIM ALI KHAN ALIAS NAVAID MIAN,SUAR TANDA,SP,0,Post Graduate,91840573,5500000
383,ANOOP SANDA,SULTANPUR,SP,0,Graduate,5370735,0
384,DHARMENDRA KUMAR KASHYAP,SUNHA,SP,0,10th Pass,1723133,0
385,LAL JI VERMA,TANDA,BSP,1,Post Graduate,9935133,436814
386,VIJAY KUMAR URF VIJAY YADAV,THAKURDWARA,BSP,1,10th Pass,12330000,0
387,ABDUL WARISH KHAN,THANA BHAWAN,RLD,0,Graduate Professional,10104000,0
388,RAJESH YADAV,TILHAR,SP,1,Graduate Professional,6945000,372000
389,MAYANKESHWAR SHARAN SINGH,TILOI,SP,0,Graduate,27914892,0
390,VISHAMBHAR PRASAD,TINDWARI,SP,4,Post Graduate,7379828,876000
391,KAUSHLENDRA NATH YOGI,TULSIPUR,BJP,0,Literate,51943,400000
392,RAKESH BABU,TUNDLA,BSP,0,Post Graduate,2410300,0
393,KAILASH SINGH RAJPUT,UMARDHA,BSP,2,Graduate Professional,4886405,360000
394,DEEPAK KUMAR,UNNAO,SP,2,Graduate,92899000,702000
395,MUSLIM KHAN,USEHAT,BSP,0,Graduate,6095933,198083
396,SHYAMLAL,UTRAULA,BJP,0,12th Pass,11440605,0
397,DR. JYOTASANA SHRIVASTAV,VARANASI CANTONMENT,BJP,0,Doctorate,9573063,0
398,HAJI ABDUL SAMAD ANSARI,VARANASI NORTH,SP,2,10th Pass,5027606,0
399,SHYAM DEO ROY CHAUDHARY DADA,VARANASI SOUTH,BJP,0,Graduate,4017258,0
400,KALICHARAN,ZAHOORABAD,BSP,0,10th Pass,1783489,134824
401,RAJ KUMAR,ZAMANIA,BSP,1,Doctorate,14868395,5085774
